entidad,tipo_entidad
Elizabeth Zamora,ser humano
Enrique Anleu Díaz,ser humano
Pedro Nolasco Estrada Aristondo,ser humano
Juan Nepomuceno Barrundia Cepeda,ser humano
Erick Anguiano,ser humano
Erwin Sperisen,ser humano
Juan Gerardi,ser humano
Otto René Castillo,ser humano
badmintonista,deportista
emprendedor,profesión
Universidad Johns Hopkins,universidad
relatoría especial de las Naciones Unidas,cargo
Livingston,ciudad
Santiago de los Caballeros de Guatemala,ciudad
Universidad de Salamanca,universidad
jefe supremo del Estado de Guatemala,posición
agente de policía,profesión
Suiza,país
Universidad Duke,universidad
Francisco Javier Arana,ser humano
José Javier del Águila,ser humano
Juan Pablo Escobar López,ser humano
Luis Espel,ser humano
Manuel Ayau,ser humano
Mario Gonzalez,ser humano
Nan Cuz,ser humano
Mario Acevedo,ser humano
Humberto Akabal,ser humano
Luis Augusto Turcios Lima,ser humano
Bernardo Alvarado Monzón,ser humano
Eddie Valenzuela,ser humano
Rodrigo Asturias,ser humano
Rogelia Cruz Martínez,ser humano
Franz Galich,ser humano
Tránsito Montepeque,ser humano
Fredy Archila,ser humano
Abner Trigueros,ser humano
Alejandra Barillas,ser humano
Alejandro Galindo,ser humano
Villa Canales,ciudad
militar,profesión
jefe del estado mayor,posición militar
Universidad Estatal de Luisiana,universidad
Sociedad Mont Pelerin,think tank
Senahú,municipio
Alemania,país
Momostenango,municipio
boxeador,deportista
Premio Centroamericano de Literatura Rogelio Sinán,premio
Sipacate,municipio
recolector de plantas,ocupación
Escuela Nacional Central de Agricultura,institución educativa
botánico,biólogo
Carlos Castrillo,ser humano
Carlos Estuardo Mérida,ser humano
Carlos Peña,ser humano
Carlos Villa,ser humano
Roberto Carpio Nicolle,ser humano
Claudio Rojas,ser humano
Elías Vásquez,ser humano
Erick Acevedo,ser humano
Erick Fion,ser humano
Estuardo De León,ser humano
Haroldo Juárez Arjona,ser humano
Héctor De Mata,ser humano
Ilma Urrutia,ser humano
Jaime Díaz Rozzotto,ser humano
Jairo Arreola,ser humano
Juan Bautista Frener,ser humano
Jean Márquez,ser humano
Jessica Scheel,ser humano
José Carlos Castillo,ser humano
Juan José Ruiz,ser humano
Jutiapa,página de desambiguación de Wikimedia
profesor,educador
Lucerna,ciudad
medallista,profesión
Luis Mendizábal,ser humano
Luis Felipe Arias,ser humano
Luis Manresa Formosa,ser humano
Luis María Estrada Paetau,ser humano
Luis Santizo,ser humano
Manuel Baldizón,ser humano
Manuel Rodas,ser humano
Manuel de la Cruz Tot,ser humano
Mario Enrique Ríos Montt,ser humano
Rosalina Tuyuc,ser humano
Miguel Pérez Laparra,ser humano
Mynor Ramírez,ser humano
Nery Velásquez,ser humano
Jorge Toriello Garrido,ser humano
Paulo César Motta,ser humano
Pedro José Valenzuela Jáuregui,ser humano
Henry López,ser humano
Minor López,ser humano
Rafael Antonio Castellanos,ser humano
Rafael Rodríguez Padilla,ser humano
jurista,profesión
pianista,profesión
"obispo de Quetzaltenango, Los Altos",cargo eclesiástico
Flores,página de desambiguación de Wikimedia
Universidad de Oxford,institución educativa
La Esperanza,asentamiento
intérprete,contribuyente
San Juan Comalapa,municipio
Orden Nacional de la Legión de Honor,orden estatal
luchador,ocupación
Miguel Ángel Klee,ser humano
Moisés Hernández,ser humano
Nelson Morales,ser humano
Noé Rivera,ser humano
Octavio Sandoval,ser humano
Oliverio Castañeda de León,ser humano
Oscar Maeda,ser humano
Oswar Gramajo,ser humano
Otto-Raúl González,ser humano
Otto Daniel Galindo García.,ser humano
Otto Pérez Leal,ser humano
Pablo Bromo,ser humano
Pavel Centeno,ser humano
Pedro Samayoa,ser humano
Irma Flaquer,ser humano
Isabella Escobar,ser humano
Rafael Álvarez Ovalle,ser humano
Rafael Hernández,comunidad
Rafael Vásquez Álvarez,ser humano
Ramón Peralta,ser humano
Dallas,ciudad
Escuela Preparatoria Seagoville,escuela secundaria superior
skater,profesión
estudiante,estudiante
remero,función laboral
Mixco,ciudad
Universidad George Mason,universidad
editor,Wikidata property to identify contributors to creative works
Miami,ciudad
Universidad George Washington,universidad
Boys,página de desambiguación de Wikimedia
comediante,profesión
Raphael Girard,ser humano
Raquel Blandón,ser humano
Renato Blanco,ser humano
René Poitevin,ser humano
Roberto Díaz-Gomar,ser humano
Roberto Sagastume Pinto,ser humano
Rodolfo Narciso Chavarría,ser humano
Rolando Ovando,ser humano
Rosa Leal de Pérez,ser humano
Salomón Gómez,ser humano
Jacobo,ser humano
Jacqueline Solís,ser humano
Jaime Hernández Méndez,ser humano
Sergio Azurdia,ser humano
Sergio Fernando Morales Alvarado,ser humano
Sergio Tischler,ser humano
Sergio Trujillo,ser humano
Severo Martínez Peláez,ser humano
Víctor Manuel Ayala,ser humano
Víctor Muñoz (escritor),ser humano
Martigny,ciudad
Orden del Quetzal,orden
Jalapa,página de desambiguación de Wikimedia
Orden de Isabel la Católica,orden
San Cristóbal Verapaz,ciudad
yudoca,deportista
Departamento de Zacapa,departamento
académico,rango académico
Morales,municipio
Wendy Widmann,ser humano
Wilber Caal,ser humano
William Orbaugh,ser humano
Jean Pierre Brol,ser humano
Álvaro Rodrigo Aguilar Aguilar,ser humano
Jesús Tecú Osorio,ser humano
Jorge Mario García Laguardia,ser humano
Juan José Paredes,ser humano
Juan Manuel Funes,ser humano
Jorge Rodas,ser humano
José Luis Cabrera,ser humano
Joseph Burge,ser humano
José Batres Montúfar,ser humano
José María Bonilla,ser humano
José Rubén Zamora,ser humano
José Zacarías Antonio,ser humano
Juan Andrés Rodríguez Silva,ser humano
Juan Carlos Romero,ser humano
Juan Francisco Reyes López,ser humano
Juan José Gutiérrez Mayorga,ser humano
Gran Cruz de la Orden de Isabel la Católica,grado de una orden
tirador,cinturón
